#	声音资源配置表					
#	Id		Name	AssetId	SoundGroupId	SoundPlayParamId
#	int		string	int	int	int
#	声音编号	策划备注	声音名字	资源ID名称	声音组名称	声音播放参数
	10001	哇哦	哇哦	10001	1002	1002
	10002		昼夜	10002	1002	1002
	10003		升级	10003	1002	1002
	10004		失败	10004	1002	1002
	10005		特殊物品	10005	1002	1002
	10006		获得物品	10006	1002	1002
	10007		杂项1	10007	1002	1002
	10008		水滴1	10008	1002	1002
	10009		水滴2	10009	1002	1002
	10010		菜单1	10010	1002	1002
	10011		菜单2	10011	1002	1002
	10012		菜单3	10012	1002	1002
	10013		背景	10013	1001	1001
	10014		钓鱼	10014	1001	1001
